
Month,Year,SA_1st,SA_2nd,SA_3rd,SA_Rev_2nd_1st,SA_Rev_3rd_2nd,SA_Rev_3rd_1st,NSA_1st,NSA_2nd,NSA_3rd,NSA_Rev_2nd_1st,NSA_Rev_3rd_2nd,NSA_Rev_3rd_1st
Oct.,1987,549.0,536.0,549.0,-13.0,13.0,0.0,836.0,818.0,832.0,-18.0,14.0,-4.0
Nov.,1987,274.0,263.0,302.0,-11.0,39.0,28.0,322.0,306.0,347.0,-16.0,41.0,25.0
Dec.,1987,326.0,311.0,327.0,-15.0,16.0,1.0,240.0,223.0,239.0,-17.0,16.0,-1.0
Jan.,1988,107.0,174.0,215.0,67.0,41.0,108.0,-2092.0,-2025.0,-1985.0,67.0,40.0,107.0
Feb.,1988,531.0,517.0,538.0,-14.0,21.0,7.0,576.0,563.0,581.0,-13.0,18.0,5.0
Mar.,1988,262.0,296.0,291.0,34.0,-5.0,29.0,747.0,785.0,1192.0,38.0,407.0,445.0
Apr.,1988,174.0,249.0,261.0,75.0,12.0,87.0,854.0,983.0,998.0,129.0,15.0,144.0
May,1988,209.0,221.0,208.0,12.0,-13.0,-1.0,802.0,810.0,797.0,8.0,-13.0,-5.0
Jun.,1988,346.0,532.0,568.0,186.0,36.0,222.0,740.0,926.0,964.0,186.0,38.0,224.0
Jul.,1988,283.0,200.0,214.0,-83.0,14.0,-69.0,-784.0,-865.0,-851.0,-81.0,14.0,-67.0
Aug.,1988,219.0,169.0,154.0,-50.0,-15.0,-65.0,232.0,184.0,172.0,-48.0,-12.0,-60.0
Sep.,1988,255.0,304.0,312.0,49.0,8.0,57.0,844.0,888.0,897.0,44.0,9.0,53.0
Oct.,1988,323.0,238.0,236.0,-85.0,-2.0,-87.0,800.0,716.0,712.0,-84.0,-4.0,-88.0
Nov.,1988,463.0,404.0,446.0,-59.0,42.0,-17.0,478.0,421.0,463.0,-57.0,42.0,-15.0
Dec.,1988,279.0,221.0,222.0,-58.0,1.0,-57.0,236.0,174.0,178.0,-62.0,4.0,-58.0
Jan.,1989,408.0,415.0,424.0,7.0,9.0,16.0,-1973.0,-1968.0,-1960.0,5.0,8.0,13.0
Feb.,1989,289.0,280.0,276.0,-9.0,-4.0,-13.0,416.0,411.0,406.0,-5.0,-5.0,-10.0
Mar.,1989,180.0,171.0,177.0,-9.0,6.0,-3.0,679.0,669.0,80.0,-10.0,-589.0,-599.0
Apr.,1989,117.0,206.0,213.0,89.0,7.0,96.0,890.0,919.0,927.0,29.0,8.0,37.0
May,1989,101.0,207.0,209.0,106.0,2.0,108.0,693.0,798.0,801.0,105.0,3.0,108.0
Jun.,1989,180.0,250.0,297.0,70.0,47.0,117.0,676.0,739.0,789.0,63.0,50.0,113.0
Jul.,1989,169.0,184.0,160.0,15.0,-24.0,-9.0,-977.0,-972.0,-994.0,5.0,-22.0,-17.0
Aug.,1989,110.0,88.0,120.0,-22.0,32.0,10.0,118.0,98.0,126.0,-20.0,28.0,8.0
Sep.,1989,209.0,201.0,209.0,-8.0,8.0,0.0,815.0,811.0,820.0,-4.0,9.0,5.0
Oct.,1989,233.0,93.0,75.0,-140.0,-18.0,-158.0,647.0,507.0,489.0,-140.0,-18.0,-158.0
Nov.,1989,210.0,222.0,281.0,12.0,59.0,71.0,342.0,353.0,415.0,11.0,62.0,73.0
Dec.,1989,142.0,96.0,118.0,-46.0,22.0,-24.0,51.0,1.0,26.0,-50.0,25.0,-25.0
Jan.,1990,275.0,332.0,361.0,57.0,29.0,86.0,-2126.0,-2074.0,-2044.0,52.0,30.0,82.0
Feb.,1990,372.0,356.0,373.0,-16.0,17.0,1.0,527.0,506.0,523.0,-21.0,17.0,-4.0
Mar.,1990,26.0,103.0,123.0,77.0,20.0,97.0,601.0,664.0,686.0,63.0,22.0,85.0
Apr.,1990,64.0,-23.0,-26.0,-87.0,-3.0,-90.0,773.0,682.0,684.0,-91.0,2.0,-89.0
May,1990,164.0,356.0,369.0,192.0,13.0,205.0,768.0,955.0,967.0,187.0,12.0,199.0
Jun.,1990,40.0,155.0,212.0,115.0,57.0,172.0,548.0,665.0,542.0,117.0,-123.0,-6.0
Jul.,1990,-219.0,-89.0,-89.0,130.0,0.0,130.0,-1384.0,-1296.0,-1297.0,88.0,-1.0,87.0
Aug.,1990,-75.0,-83.0,-127.0,-8.0,-44.0,-52.0,-132.0,-136.0,-173.0,-4.0,-37.0,-41.0
Sep.,1990,-101.0,-52.0,-1.0,49.0,51.0,100.0,513.0,554.0,606.0,41.0,52.0,93.0
Oct.,1990,-68.0,-178.0,-180.0,-110.0,-2.0,-112.0,377.0,261.0,258.0,-116.0,-3.0,-119.0
Nov.,1990,-267.0,-259.0,-267.0,8.0,-8.0,0.0,-67.0,-59.0,-69.0,8.0,-10.0,-2.0
Dec.,1990,-76.0,-148.0,-161.0,-72.0,-13.0,-85.0,-187.0,-258.0,-273.0,-71.0,-15.0,-86.0
Jan.,1991,-232.0,-233.0,-191.0,-1.0,42.0,41.0,-2525.0,-2520.0,-2480.0,5.0,40.0,45.0
Feb.,1991,-184.0,-291.0,-286.0,-107.0,5.0,-102.0,61.0,-43.0,-39.0,-104.0,4.0,-100.0
Mar.,1991,-206.0,-241.0,-258.0,-35.0,-17.0,-52.0,307.0,271.0,-160.0,-36.0,-431.0,-467.0
Apr.,1991,-124.0,-180.0,-166.0,-56.0,14.0,-42.0,509.0,429.0,443.0,-80.0,14.0,-66.0
May,1991,59.0,119.0,151.0,60.0,32.0,92.0,619.0,681.0,714.0,62.0,33.0,95.0
Jun.,1991,-50.0,-21.0,-2.0,29.0,19.0,48.0,484.0,515.0,532.0,31.0,17.0,48.0
Jul.,1991,-51.0,-73.0,-26.0,-22.0,47.0,25.0,-1257.0,-1275.0,-1229.0,-18.0,46.0,28.0
Aug.,1991,34.0,77.0,112.0,43.0,35.0,78.0,11.0,48.0,80.0,37.0,32.0,69.0
Sep.,1991,24.0,48.0,95.0,24.0,47.0,71.0,662.0,685.0,734.0,23.0,49.0,72.0
Oct.,1991,-1.0,4.0,7.0,5.0,3.0,8.0,368.0,374.0,375.0,6.0,1.0,7.0
Nov.,1991,-241.0,-265.0,-230.0,-24.0,35.0,11.0,8.0,-12.0,26.0,-20.0,38.0,18.0
Dec.,1991,31.0,3.0,39.0,-28.0,36.0,8.0,-126.0,-154.0,-121.0,-28.0,33.0,5.0
Jan.,1992,-91.0,-149.0,-122.0,-58.0,27.0,-31.0,-2337.0,-2395.0,-2368.0,-58.0,27.0,-31.0
Feb.,1992,164.0,107.0,106.0,-57.0,-1.0,-58.0,319.0,262.0,262.0,-57.0,0.0,-57.0
Mar.,1992,19.0,39.0,58.0,20.0,19.0,39.0,459.0,480.0,-236.0,21.0,-716.0,-695.0
Apr.,1992,126.0,182.0,177.0,56.0,-5.0,51.0,681.0,785.0,781.0,104.0,-4.0,100.0
May,1992,68.0,93.0,119.0,25.0,26.0,51.0,686.0,712.0,736.0,26.0,24.0,50.0
Jun.,1992,-117.0,-63.0,-73.0,54.0,-10.0,44.0,457.0,518.0,502.0,61.0,-16.0,45.0
Jul.,1992,198.0,177.0,171.0,-21.0,-6.0,-27.0,-1061.0,-1077.0,-1080.0,-16.0,-3.0,-19.0
Aug.,1992,-83.0,-128.0,-109.0,-45.0,19.0,-26.0,-26.0,-73.0,-54.0,-47.0,19.0,-28.0
Sep.,1992,-57.0,-72.0,12.0,-15.0,84.0,69.0,643.0,626.0,708.0,-17.0,82.0,65.0
Oct.,1992,27.0,34.0,74.0,7.0,40.0,47.0,398.0,411.0,448.0,13.0,37.0,50.0
Nov.,1992,105.0,76.0,75.0,-29.0,-1.0,-30.0,219.0,195.0,192.0,-24.0,-3.0,-27.0
Dec.,1992,64.0,90.0,106.0,26.0,16.0,42.0,-102.0,-72.0,-58.0,30.0,14.0,44.0
Jan.,1993,106.0,44.0,113.0,-62.0,69.0,7.0,-2191.0,-2251.0,-2182.0,-60.0,69.0,9.0
Feb.,1993,365.0,367.0,338.0,2.0,-29.0,-27.0,549.0,552.0,521.0,3.0,-31.0,-28.0
Mar.,1993,-22.0,-9.0,26.0,13.0,35.0,48.0,416.0,431.0,799.0,15.0,368.0,383.0
Apr.,1993,119.0,216.0,255.0,97.0,39.0,136.0,734.0,875.0,910.0,141.0,35.0,176.0
May,1993,209.0,215.0,238.0,6.0,23.0,29.0,902.0,918.0,939.0,16.0,21.0,37.0
Jun.,1993,13.0,44.0,43.0,31.0,-1.0,30.0,494.0,525.0,527.0,31.0,2.0,33.0
Jul.,1993,162.0,211.0,237.0,49.0,26.0,75.0,-1022.0,-973.0,-950.0,49.0,23.0,72.0
Aug.,1993,-39.0,-41.0,-33.0,-2.0,8.0,6.0,-7.0,-7.0,3.0,0.0,10.0,10.0
Sep.,1993,156.0,162.0,197.0,6.0,35.0,41.0,835.0,842.0,874.0,7.0,32.0,39.0
Oct.,1993,177.0,147.0,162.0,-30.0,15.0,-15.0,572.0,544.0,556.0,-28.0,12.0,-16.0
Nov.,1993,208.0,202.0,216.0,-6.0,14.0,8.0,275.0,272.0,287.0,-3.0,15.0,12.0
Dec.,1993,183.0,190.0,230.0,7.0,40.0,47.0,0.0,8.0,48.0,8.0,40.0,48.0
Jan.,1994,62.0,-2.0,-31.0,-64.0,-29.0,-93.0,-2305.0,-2369.0,-2399.0,-64.0,-30.0,-94.0
Feb.,1994,217.0,198.0,278.0,-19.0,80.0,61.0,485.0,466.0,541.0,-19.0,75.0,56.0
Mar.,1994,456.0,464.0,379.0,8.0,-85.0,-77.0,859.0,870.0,1386.0,11.0,516.0,527.0
Apr.,1994,267.0,358.0,401.0,91.0,43.0,134.0,985.0,1055.0,1098.0,70.0,43.0,113.0
May,1994,191.0,252.0,252.0,61.0,0.0,61.0,954.0,1017.0,1019.0,63.0,2.0,65.0
Jun.,1994,379.0,356.0,383.0,-23.0,27.0,4.0,843.0,829.0,855.0,-14.0,26.0,12.0
Jul.,1994,259.0,251.0,290.0,-8.0,39.0,31.0,-941.0,-949.0,-909.0,-8.0,40.0,32.0
Aug.,1994,179.0,246.0,290.0,67.0,44.0,111.0,140.0,199.0,239.0,59.0,40.0,99.0
Sep.,1994,239.0,248.0,272.0,9.0,24.0,33.0,963.0,972.0,995.0,9.0,23.0,32.0
Oct.,1994,194.0,164.0,162.0,-30.0,-2.0,-32.0,604.0,571.0,575.0,-33.0,4.0,-29.0
Nov.,1994,350.0,488.0,534.0,138.0,46.0,184.0,418.0,557.0,601.0,139.0,44.0,183.0
Dec.,1994,256.0,210.0,231.0,-46.0,21.0,-25.0,35.0,-3.0,16.0,-38.0,19.0,-19.0
Jan.,1995,134.0,176.0,169.0,42.0,-7.0,35.0,-2411.0,-2365.0,-2376.0,46.0,-11.0,35.0
Feb.,1995,318.0,345.0,355.0,27.0,10.0,37.0,590.0,620.0,626.0,30.0,6.0,36.0
Mar.,1995,203.0,177.0,179.0,-26.0,2.0,-24.0,679.0,655.0,1174.0,-24.0,519.0,495.0
Apr.,1995,-9.0,-7.0,8.0,2.0,15.0,17.0,833.0,813.0,826.0,-20.0,13.0,-7.0
May,1995,-101.0,-46.0,-62.0,55.0,-16.0,39.0,673.0,739.0,725.0,66.0,-14.0,52.0
Jun.,1995,215.0,250.0,299.0,35.0,49.0,84.0,668.0,710.0,757.0,42.0,47.0,89.0
Jul.,1995,55.0,6.0,28.0,-49.0,22.0,-27.0,-1157.0,-1211.0,-1192.0,-54.0,19.0,-35.0
Aug.,1995,249.0,262.0,263.0,13.0,1.0,14.0,154.0,166.0,165.0,12.0,-1.0,11.0
Sep.,1995,121.0,50.0,94.0,-71.0,44.0,-27.0,868.0,801.0,842.0,-67.0,41.0,-26.0
Oct.,1995,116.0,66.0,68.0,-50.0,2.0,-48.0,582.0,531.0,533.0,-51.0,2.0,-49.0
Nov.,1995,166.0,164.0,212.0,-2.0,48.0,46.0,149.0,147.0,195.0,-2.0,48.0,46.0
Dec.,1995,151.0,161.0,145.0,10.0,-16.0,-6.0,7.0,18.0,-1.0,11.0,-19.0,-8.0
Jan.,1996,-201.0,-188.0,-146.0,13.0,42.0,55.0,-2798.0,-2781.0,-2740.0,17.0,41.0,58.0
Feb.,1996,705.0,624.0,631.0,-81.0,7.0,-74.0,1035.0,959.0,963.0,-76.0,4.0,-72.0
Mar.,1996,140.0,178.0,158.0,38.0,-20.0,18.0,676.0,719.0,1515.0,43.0,796.0,839.0
Apr.,1996,2.0,163.0,191.0,161.0,28.0,189.0,795.0,846.0,870.0,51.0,24.0,75.0
May,1996,348.0,365.0,407.0,17.0,42.0,59.0,1063.0,1077.0,1122.0,14.0,45.0,59.0
Jun.,1996,239.0,220.0,219.0,-19.0,-1.0,-20.0,713.0,695.0,691.0,-18.0,-4.0,-22.0
Jul.,1996,193.0,228.0,235.0,35.0,7.0,42.0,-1066.0,-1039.0,-1024.0,27.0,15.0,42.0
Aug.,1996,250.0,241.0,263.0,-9.0,22.0,13.0,211.0,210.0,227.0,-1.0,17.0,16.0
Sep.,1996,-40.0,-35.0,-2.0,5.0,33.0,38.0,718.0,727.0,750.0,9.0,23.0,32.0
Oct.,1996,210.0,224.0,261.0,14.0,37.0,51.0,660.0,672.0,711.0,12.0,39.0,51.0
Nov.,1996,118.0,127.0,181.0,9.0,54.0,63.0,280.0,284.0,336.0,4.0,52.0,56.0
Dec.,1996,262.0,261.0,231.0,-1.0,-30.0,-31.0,-25.0,-26.0,-61.0,-1.0,-35.0,-36.0
