
Month,Year,SA_1st,SA_2nd,SA_3rd,SA_Rev_2nd_1st,SA_Rev_3rd_2nd,SA_Rev_3rd_1st,NSA_1st,NSA_2nd,NSA_3rd,NSA_Rev_2nd_1st,NSA_Rev_3rd_2nd,NSA_Rev_3rd_1st
Mar.,2016,215.0,208.0,186.0,-7.0,-22.0,-29.0,890.0,895.0,903.0,5.0,8.0,13.0
Apr.,2016,160.0,123.0,144.0,-37.0,21.0,-16.0,1057.0,1046.0,1039.0,-11.0,-7.0,-18.0
May,2016,38.0,11.0,24.0,-27.0,13.0,-14.0,651.0,623.0,621.0,-28.0,-2.0,-30.0
Jun.,2016,287.0,292.0,271.0,5.0,-21.0,-16.0,682.0,660.0,644.0,-22.0,-16.0,-38.0
Jul.,2016,255.0,275.0,252.0,20.0,-23.0,-3.0,-1030.0,-999.0,-1016.0,31.0,-17.0,14.0
Aug.,2016,151.0,167.0,176.0,16.0,9.0,25.0,224.0,233.0,230.0,9.0,-3.0,6.0
Sep.,2016,156.0,191.0,208.0,35.0,17.0,52.0,527.0,616.0,639.0,89.0,23.0,112.0
Oct.,2016,161.0,142.0,135.0,-19.0,-7.0,-26.0,899.0,868.0,842.0,-31.0,-26.0,-57.0
Nov.,2016,178.0,204.0,164.0,26.0,-40.0,-14.0,479.0,524.0,424.0,45.0,-100.0,-55.0
Dec.,2016,156.0,157.0,155.0,1.0,-2.0,-1.0,-270.0,-225.0,-235.0,45.0,-10.0,35.0
Jan.,2017,227.0,238.0,216.0,11.0,-22.0,-11.0,-2948.0,-2897.0,-2885.0,51.0,12.0,63.0
Feb.,2017,235.0,219.0,232.0,-16.0,13.0,-3.0,1010.0,1006.0,1019.0,-4.0,13.0,9.0
Mar.,2017,98.0,79.0,50.0,-19.0,-29.0,-48.0,670.0,661.0,648.0,-9.0,-13.0,-22.0
Apr.,2017,211.0,174.0,207.0,-37.0,33.0,-4.0,1026.0,998.0,1008.0,-28.0,10.0,-18.0
May,2017,138.0,152.0,145.0,14.0,-7.0,7.0,810.0,841.0,836.0,31.0,-5.0,26.0
Jun.,2017,222.0,231.0,210.0,9.0,-21.0,-12.0,599.0,623.0,637.0,24.0,14.0,38.0
Jul.,2017,209.0,189.0,138.0,-20.0,-51.0,-71.0,-1039.0,-1091.0,-1133.0,-52.0,-42.0,-94.0
Aug.,2017,156.0,169.0,208.0,13.0,39.0,52.0,211.0,252.0,299.0,41.0,47.0,88.0
Sep.,2017,-33.0,18.0,38.0,51.0,20.0,71.0,340.0,377.0,367.0,37.0,-10.0,27.0
Oct.,2017,261.0,244.0,211.0,-17.0,-33.0,-50.0,1042.0,1021.0,998.0,-21.0,-23.0,-44.0
Nov.,2017,228.0,252.0,216.0,24.0,-36.0,-12.0,532.0,574.0,580.0,42.0,6.0,48.0
Dec.,2017,148.0,160.0,175.0,12.0,15.0,27.0,-180.0,-225.0,-253.0,-45.0,-28.0,-73.0
Jan.,2018,200.0,239.0,176.0,39.0,-63.0,-24.0,-3085.0,-3058.0,-3095.0,27.0,-37.0,-10.0
Feb.,2018,313.0,326.0,324.0,13.0,-2.0,11.0,1224.0,1232.0,1239.0,8.0,7.0,15.0
Mar.,2018,103.0,135.0,155.0,32.0,20.0,52.0,665.0,695.0,710.0,30.0,15.0,45.0
Apr.,2018,164.0,159.0,175.0,-5.0,16.0,11.0,998.0,982.0,988.0,-16.0,6.0,-10.0
May,2018,223.0,244.0,268.0,21.0,24.0,45.0,943.0,962.0,973.0,19.0,11.0,30.0
Jun.,2018,213.0,248.0,208.0,35.0,-40.0,-5.0,646.0,712.0,695.0,66.0,-17.0,49.0
Jul.,2018,157.0,147.0,165.0,-10.0,18.0,8.0,-1156.0,-1148.0,-1143.0,8.0,5.0,13.0
Aug.,2018,201.0,270.0,286.0,69.0,16.0,85.0,334.0,494.0,509.0,160.0,15.0,175.0
Sep.,2018,134.0,118.0,119.0,-16.0,1.0,-15.0,350.0,332.0,335.0,-18.0,3.0,-15.0
Oct.,2018,250.0,237.0,274.0,-13.0,37.0,24.0,1015.0,1016.0,1019.0,1.0,3.0,4.0
Nov.,2018,155.0,176.0,196.0,21.0,20.0,41.0,475.0,484.0,522.0,9.0,38.0,47.0
Dec.,2018,312.0,222.0,227.0,-90.0,5.0,-85.0,-54.0,-193.0,-172.0,-139.0,21.0,-118.0
Jan.,2019,304.0,311.0,312.0,7.0,1.0,8.0,-2981.0,-2897.0,-2908.0,84.0,-11.0,73.0
Feb.,2019,20.0,33.0,56.0,13.0,23.0,36.0,827.0,848.0,853.0,21.0,5.0,26.0
Mar.,2019,196.0,189.0,153.0,-7.0,-36.0,-43.0,724.0,714.0,716.0,-10.0,2.0,-8.0
Apr.,2019,263.0,224.0,216.0,-39.0,-8.0,-47.0,1126.0,1078.0,1074.0,-48.0,-4.0,-52.0
May,2019,75.0,72.0,62.0,-3.0,-10.0,-13.0,687.0,662.0,672.0,-25.0,10.0,-15.0
Jun.,2019,224.0,193.0,178.0,-31.0,-15.0,-46.0,707.0,632.0,633.0,-75.0,1.0,-74.0
Jul.,2019,164.0,159.0,166.0,-5.0,7.0,2.0,-1059.0,-1074.0,-1074.0,-15.0,0.0,-15.0
Aug.,2019,130.0,168.0,219.0,38.0,51.0,89.0,348.0,418.0,438.0,70.0,20.0,90.0
Sep.,2019,136.0,180.0,193.0,44.0,13.0,57.0,362.0,408.0,409.0,46.0,1.0,47.0
Oct.,2019,128.0,156.0,152.0,28.0,-4.0,24.0,947.0,986.0,985.0,39.0,-1.0,38.0
Nov.,2019,266.0,256.0,261.0,-10.0,5.0,-5.0,622.0,619.0,607.0,-3.0,-12.0,-15.0
Dec.,2019,145.0,147.0,184.0,2.0,37.0,39.0,-278.0,-243.0,-248.0,35.0,-5.0,30.0
Jan.,2020,225.0,273.0,214.0,48.0,-59.0,-11.0,-2832.0,-2812.0,-2776.0,20.0,36.0,56.0
Feb.,2020,273.0,275.0,251.0,2.0,-24.0,-22.0,880.0,902.0,923.0,22.0,21.0,43.0
Mar.,2020,-701.0,-881.0,-1373.0,-180.0,-492.0,-672.0,-251.0,-493.0,-1003.0,-242.0,-510.0,-752.0
Apr.,2020,-20537.0,-20687.0,-20787.0,-150.0,-100.0,-250.0,-19512.0,-19662.0,-19756.0,-150.0,-94.0,-244.0
May,2020,2509.0,2699.0,2725.0,190.0,26.0,216.0,2931.0,3093.0,3115.0,162.0,22.0,184.0
Jun.,2020,4800.0,4791.0,4781.0,-9.0,-10.0,-19.0,5103.0,5077.0,5070.0,-26.0,-7.0,-33.0
Jul.,2020,1763.0,1734.0,1761.0,-29.0,27.0,-2.0,591.0,561.0,574.0,-30.0,13.0,-17.0
Aug.,2020,1371.0,1489.0,1493.0,118.0,4.0,122.0,1535.0,1642.0,1624.0,107.0,-18.0,89.0
Sep.,2020,661.0,672.0,711.0,11.0,39.0,50.0,1137.0,1154.0,1201.0,17.0,47.0,64.0
Oct.,2020,638.0,610.0,654.0,-28.0,44.0,16.0,1605.0,1587.0,1601.0,-18.0,14.0,-4.0
Nov.,2020,245.0,336.0,264.0,91.0,-72.0,19.0,517.0,603.0,553.0,86.0,-50.0,36.0
Dec.,2020,-140.0,-227.0,-306.0,-87.0,-79.0,-166.0,-328.0,-421.0,-519.0,-93.0,-98.0,-191.0
Jan.,2021,49.0,166.0,233.0,117.0,67.0,184.0,-2773.0,-2654.0,-2622.0,119.0,32.0,151.0
Feb.,2021,379.0,468.0,536.0,89.0,68.0,157.0,978.0,1097.0,1153.0,119.0,56.0,175.0
Mar.,2021,916.0,770.0,785.0,-146.0,15.0,-131.0,1323.0,1176.0,1182.0,-147.0,6.0,-141.0
Apr.,2021,266.0,278.0,269.0,12.0,-9.0,3.0,1089.0,1097.0,1082.0,8.0,-15.0,-7.0
May,2021,559.0,583.0,614.0,24.0,31.0,55.0,973.0,972.0,958.0,-1.0,-14.0,-15.0
Jun.,2021,850.0,938.0,962.0,88.0,24.0,112.0,1148.0,1248.0,1223.0,100.0,-25.0,75.0
Jul.,2021,943.0,1053.0,1091.0,110.0,38.0,148.0,-133.0,-34.0,-42.0,99.0,-8.0,91.0
Aug.,2021,235.0,366.0,483.0,131.0,117.0,248.0,312.0,492.0,476.0,180.0,-16.0,164.0
Sep.,2021,194.0,312.0,379.0,118.0,67.0,185.0,654.0,647.0,638.0,-7.0,-9.0,-16.0
Oct.,2021,531.0,546.0,648.0,15.0,102.0,117.0,1558.0,1576.0,1595.0,18.0,19.0,37.0
Nov.,2021,210.0,249.0,647.0,39.0,398.0,437.0,778.0,853.0,900.0,75.0,47.0,122.0
Dec.,2021,199.0,510.0,588.0,311.0,78.0,389.0,72.0,139.0,142.0,67.0,3.0,70.0
Jan.,2022,467.0,481.0,504.0,14.0,23.0,37.0,-2824.0,-2842.0,-2847.0,-18.0,-5.0,-23.0
Feb.,2022,678.0,750.0,714.0,72.0,-36.0,36.0,1457.0,1639.0,1638.0,182.0,-1.0,181.0
Mar.,2022,431.0,428.0,398.0,-3.0,-30.0,-33.0,794.0,769.0,762.0,-25.0,-7.0,-32.0
Apr.,2022,428.0,436.0,368.0,8.0,-68.0,-60.0,1071.0,1059.0,1052.0,-12.0,-7.0,-19.0
May,2022,390.0,384.0,386.0,-6.0,2.0,-4.0,809.0,791.0,771.0,-18.0,-20.0,-38.0
Jun.,2022,372.0,398.0,293.0,26.0,-105.0,-79.0,944.0,906.0,879.0,-38.0,-27.0,-65.0
Jul.,2022,528.0,526.0,537.0,-2.0,11.0,9.0,-385.0,-344.0,-349.0,41.0,-5.0,36.0
Aug.,2022,315.0,315.0,292.0,0.0,-23.0,-23.0,309.0,384.0,416.0,75.0,32.0,107.0
Sep.,2022,263.0,315.0,269.0,52.0,-46.0,6.0,431.0,523.0,530.0,92.0,7.0,99.0
Oct.,2022,261.0,284.0,263.0,23.0,-21.0,2.0,1172.0,1212.0,1197.0,40.0,-15.0,25.0
Nov.,2022,263.0,256.0,290.0,-7.0,34.0,27.0,574.0,614.0,601.0,40.0,-13.0,27.0
Dec.,2022,223.0,260.0,239.0,37.0,-21.0,16.0,-244.0,-293.0,-298.0,-49.0,-5.0,-54.0
Jan.,2023,517.0,504.0,472.0,-13.0,-32.0,-45.0,-2505.0,-2508.0,-2505.0,-3.0,3.0,0.0
Feb.,2023,311.0,326.0,248.0,15.0,-78.0,-63.0,1119.0,1158.0,1144.0,39.0,-14.0,25.0
Mar.,2023,236.0,165.0,217.0,-71.0,52.0,-19.0,520.0,462.0,457.0,-58.0,-5.0,-63.0
Apr.,2023,253.0,294.0,217.0,41.0,-77.0,-36.0,892.0,946.0,929.0,54.0,-17.0,37.0
May,2023,339.0,306.0,281.0,-33.0,-25.0,-58.0,920.0,897.0,910.0,-23.0,13.0,-10.0
Jun.,2023,209.0,185.0,105.0,-24.0,-80.0,-104.0,697.0,666.0,626.0,-31.0,-40.0,-71.0
Jul.,2023,187.0,157.0,236.0,-30.0,79.0,49.0,-819.0,-871.0,-883.0,-52.0,-12.0,-64.0
Aug.,2023,187.0,227.0,165.0,40.0,-62.0,-22.0,268.0,394.0,370.0,126.0,-24.0,102.0
Sep.,2023,336.0,297.0,262.0,-39.0,-34.0,-74.0,585.0,526.0,514.0,-59.0,-12.0,-71.0
Oct.,2023,150.0,150.0,105.0,0.0,-45.0,-45.0,1066.0,1078.0,1030.0,12.0,-48.0,-36.0
Nov.,2023,199.0,173.0,182.0,-26.0,9.0,-17.0,477.0,459.0,469.0,-18.0,10.0,-8.0
Dec.,2023,216.0,333.0,290.0,117.0,-43.0,74.0,-167.0,-86.0,-78.0,81.0,8.0,89.0
Jan.,2024,353.0,229.0,256.0,-124.0,27.0,-97.0,-2635.0,-2855.0,-2837.0,-220.0,18.0,-202.0
Feb.,2024,275.0,270.0,236.0,-5.0,-34.0,-39.0,1141.0,1127.0,1119.0,-14.0,-8.0,-22.0
Mar.,2024,303.0,315.0,310.0,12.0,-5.0,7.0,659.0,662.0,659.0,3.0,-3.0,0.0
Apr.,2024,175.0,165.0,108.0,-10.0,-57.0,-67.0,803.0,791.0,791.0,-12.0,0.0,-12.0
May,2024,272.0,218.0,216.0,-54.0,-2.0,-56.0,917.0,844.0,841.0,-73.0,-3.0,-76.0
Jun.,2024,206.0,179.0,118.0,-27.0,-61.0,-88.0,547.0,518.0,499.0,-29.0,-19.0,-48.0
Jul.,2024,114.0,89.0,144.0,-25.0,55.0,30.0,-915.0,-954.0,-942.0,-39.0,12.0,-27.0
Aug.,2024,142.0,159.0,78.0,17.0,-81.0,-64.0,263.0,318.0,332.0,55.0,14.0,69.0
Sep.,2024,254.0,223.0,255.0,-31.0,32.0,1.0,460.0,450.0,453.0,-10.0,3.0,-7.0
Oct.,2024,12.0,36.0,43.0,24.0,7.0,31.0,826.0,851.0,846.0,25.0,-5.0,20.0
Nov.,2024,227.0,212.0,261.0,-15.0,49.0,34.0,525.0,509.0,530.0,-16.0,21.0,5.0
Dec.,2024,256.0,307.0,323.0,51.0,16.0,67.0,-81.0,61.0,41.0,142.0,-20.0,122.0
Jan.,2025,143.0,125.0,111.0,-18.0,-14.0,-32.0,-2852.0,-2831.0,-2828.0,21.0,3.0,24.0
Feb.,2025,151.0,117.0,102.0,-34.0,-15.0,-49.0,891.0,855.0,849.0,-36.0,-6.0,-42.0
Mar.,2025,228.0,185.0,120.0,-43.0,-65.0,-108.0,556.0,467.0,458.0,-89.0,-9.0,-98.0
Apr.,2025,177.0,147.0,158.0,-30.0,11.0,-19.0,905.0,836.0,825.0,-69.0,-11.0,-80.0
May,2025,139.0,144.0,19.0,5.0,-125.0,-120.0,726.0,731.0,703.0,5.0,-28.0,-23.0
Jun.,2025,147.0,14.0,,-133.0,,,517.0,363.0,,-154.0,,
Jul.,2025,73.0,,,,,,-1066.0,,,,,
Aug.,2025,,,,,,,,,,,,
Sep.,2025,,,,,,,,,,,,
Oct.,2025,,,,,,,,,,,,
Nov.,2025,,,,,,,,,,,,
Dec.,2025,,,,,,,,,,,,
