date,year,month,month_num,sa_1st,sa_2nd,sa_3rd,sa_rev_2nd_minus_1st,sa_rev_3rd_minus_2nd,sa_rev_3rd_minus_1st,nsa_1st,nsa_2nd,nsa_3rd,nsa_rev_2nd_minus_1st,nsa_rev_3rd_minus_2nd,nsa_rev_3rd_minus_1st,source_url,scraped_at
1982-01-01,1982,Jan.,1,-237.0,-274.0,-234.0,-37.0,40.0,3.0,-2134.0,-2172.0,-2133.0,-38.0,39.0,1.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1982-02-01,1982,Feb.,2,97.0,161.0,140.0,64.0,-21.0,43.0,103.0,165.0,146.0,62.0,-19.0,43.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1982-03-01,1982,Mar.,3,-218.0,-259.0,-155.0,-41.0,104.0,63.0,291.0,247.0,-266.0,-44.0,-513.0,-557.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1982-04-01,1982,Apr.,4,-167.0,-311.0,-221.0,-144.0,90.0,-54.0,259.0,218.0,305.0,-41.0,87.0,46.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1982-05-01,1982,May,5,-24.0,68.0,83.0,92.0,15.0,107.0,362.0,456.0,471.0,94.0,15.0,109.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1982-06-01,1982,Jun.,6,-141.0,-306.0,-327.0,-165.0,-21.0,-186.0,301.0,141.0,115.0,-160.0,-26.0,-186.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1982-07-01,1982,Jul.,7,-17.0,-177.0,-304.0,-160.0,-127.0,-287.0,-1057.0,-1208.0,-1332.0,-151.0,-124.0,-275.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1982-08-01,1982,Aug.,8,-211.0,-267.0,-223.0,-56.0,44.0,-12.0,-167.0,-225.0,-181.0,-58.0,44.0,-14.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1982-09-01,1982,Sep.,9,-230.0,-124.0,-45.0,106.0,79.0,185.0,286.0,389.0,466.0,103.0,77.0,180.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1982-10-01,1982,Oct.,10,-263.0,-389.0,-407.0,-126.0,-18.0,-144.0,136.0,13.0,-7.0,-123.0,-20.0,-143.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
