date,1-month revision,2-month revision
1988-11-01,-59,42
1988-12-01,-58,1
1987-01-01,-129,-15
1987-02-01,-101,-8
1987-03-01,-9,24
1987-04-01,-36,-11
1987-05-01,-49,36
1987-06-01,-13,7
1987-07-01,-8,12
1987-08-01,-4,-3
1987-09-01,-11,38
1987-10-01,-13,13
1987-11-01,-11,39
1987-12-01,-15,16
1986-01-01,-145,-11
1986-02-01,-73,7
1986-03-01,-14,-123
1986-04-01,107,-14
1986-05-01,-24,10
1986-06-01,35,-21
1986-07-01,-110,-17
1986-08-01,-46,22
1986-09-01,58,112
1986-10-01,-38,6
1986-11-01,-10,3
1986-12-01,-44,29
1985-01-01,-36,52
1985-02-01,-7,4
1985-03-01,-28,-34
1985-04-01,-9,2
1985-05-01,-79,35
1985-06-01,-52,24
1985-07-01,6,-15
1985-08-01,-8,-10
1985-09-01,10,102
1985-10-01,-60,-12
1985-11-01,-2,62
1985-12-01,-52,17
1984-01-01,-23,67
1984-02-01,31,10
1984-03-01,6,63
1984-04-01,-9,-7
1984-05-01,37,50
1984-06-01,7,59
1984-07-01,-86,-1
1984-08-01,23,-9
1984-09-01,92,53
1984-10-01,-98,4
1984-11-01,32,5
1984-12-01,-142,20
1983-01-01,-9,25
1983-02-01,-5,24
1983-03-01,77,-127
1983-04-01,15,14
1983-05-01,-59,5
1983-06-01,67,12
1983-07-01,-129,-50
1983-08-01,-6,0
1983-09-01,285,98
1983-10-01,-116,32
1983-11-01,-44,-58
1983-12-01,-3,16
1982-01-01,-37,40
1982-02-01,64,-21
1982-03-01,-41,104
1982-04-01,-144,90
1982-05-01,92,15
1982-06-01,-165,-21
1982-07-01,-160,-127
1982-08-01,-56,44
1982-09-01,106,79
1982-10-01,-126,-18
1982-11-01,-13,66
1982-12-01,-49,30
1981-01-01,0,-18
1981-02-01,112,8
1981-03-01,61,-9
1981-04-01,5,326
1981-05-01,88,34
1981-06-01,33,32
1981-07-01,-32,-86
1981-08-01,-12,-28
1981-09-01,101,85
1981-10-01,-30,34
1981-11-01,-96,23
1981-12-01,-133,17
1980-01-01,44,62
1980-02-01,-19,71
1980-03-01,94,20
1980-04-01,168,118
1980-05-01,-169,-134
1980-06-01,19,74
1980-07-01,56,2
1980-08-01,41,33
1980-09-01,36,19
1980-10-01,-29,98
1980-11-01,-61,44
1980-12-01,-50,9
1979-01-01,-141,59
1979-02-01,7,-14
1979-03-01,98,23
1979-04-01,-68,-19
1979-05-01,97,23
1979-06-01,73,55
1979-07-01,5,38
1979-08-01,3,44
1979-09-01,-52,-42
1979-10-01,-142,15
1979-11-01,-91,-9
1979-12-01,-186,10
